OTU;Size;regnum;phylum;classis;ordo;familia;genus;RT1;RB1;LT1;LB1;VAG1;BLANK1;CTR1;BLANK2;RT2;RB2;LT2;LB2;VAG2;CTR2;RT3;RB3;LT3;LB3;VAG3;CTR3;BLANK3;RT4;RB4;LT4;LB4;VAG4;RT5;RB5;LT5;LB5;VAG5
Otu0601;32;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0
Otu0602;32;Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014_fa;Clostridia_UCG-014_ge;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;28
Otu0603;32;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Aureimonas;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Otu0604;32;Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41;WCHB1-41_fa;WCHB1-41_ge;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32
Otu0605;32;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae_unclassified;12;0;1;0;0;1;5;0;0;0;0;1;0;0;1;0;5;1;0;0;0;0;1;1;1;0;0;0;2;0;0
Otu0606;31;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Weeksellaceae_unclassified;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0607;31;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;uncultured;0;0;0;0;30;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0608;31;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Frisingicoccus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;8
Otu0609;31;Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae_R-7_group;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0610;31;Bacteria;Firmicutes;Clostridia;Eubacteriales;Anaerofustaceae;Anaerofustis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0
Otu0611;31;Bacteria;Firmicutes;Bacilli;RF39;RF39_fa;RF39_ge;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0
Otu0612;31;Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0
